ReviewCount,Description,Price,Url,Rating
TOZO T6 True Wireless Earbuds Bluetooth 5.3 Headphones Touch Control with Wireless Charging Case IPX8 Waterproof Stereo Earphones in-Ear Built-in Mic Headset Premium Deep Bass for Sport Black,$25.99 ,4.4 out of 5 stars,"-236,891",https://www.amazon.com/TOZO-T6-Bluetooth-Headphones-Waterproof/dp/B07RGZ5NKS/ref=sr_1_16?crid=3ORS3HPQDQZ22&keywords=headphones&qid=1673619314&sprefix=head%2Caps%2C528&sr=8-16
"TUINYO Bluetooth Headphones Wireless, Over Ear Stereo Wireles Headset 40H Playtime with deep bass, Soft Memory-Protein Earmuffs, Built-in Mic Wired Mode PC/Cell Phones/TV-Dark Grey …",$31.99 ,4.4 out of 5 stars,"-16,372",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A01347812O6JOJ3KL9BKI&qualifier=1673619314&id=626055620723221&widgetName=sp_mtf&url=%2FBluetooth-Headphones-TUINYO-Wireless-Headset%2Fdp%2FB08RHXTD1F%2Fref%3Dsr_1_17_sspa%3Fcrid%3D3ORS3HPQDQZ22%26keywords%3Dheadphones%26qid%3D1673619314%26sprefix%3Dhead%252Caps%252C528%26sr%3D8-17-spons%26psc%3D1
"Maxell 190319 Stereo Headphone, Black (Packaging May Vary)",$3.98 ,4.1 out of 5 stars,"-2,417",https://www.amazon.com/Maxell-190319-Stereo-Headphone-Packaging/dp/B00006JPRN/ref=sr_1_18?crid=3ORS3HPQDQZ22&keywords=headphones&qid=1673619314&sprefix=head%2Caps%2C528&sr=8-18
"Hongzan 10 Pack Kids Headphones Bulk Multi Color for Classroom School, Wholesale Wired On-Ear Earphones Class Set for Students Children and Adult (10 Pack)",$19.99 ,,,https://www.amazon.com/Hongzan-Headphones-Classroom-Wholesale-Earphones/dp/B0BMXR3GBQ/ref=sr_1_19?crid=3ORS3HPQDQZ22&keywords=headphones&qid=1673619314&sprefix=head%2Caps%2C528&sr=8-19
"PRTUKYT 6S Wireless Bluetooth Headphones Over Ear, Hi-Fi Stereo Foldable Wireless Stereo Headsets Earbuds with Built-in Mic, Volume Control, FM for Phone/PC (Black & Gold)",$25.99 ,4.3 out of 5 stars,"-9,319",https://www.amazon.com/Wireless-Bluetooth-Headphones-Foldable-Headsets/dp/B08VNFD8FS/ref=sr_1_20?crid=3ORS3HPQDQZ22&keywords=headphones&qid=1673619314&sprefix=head%2Caps%2C528&sr=8-20
"Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 40H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office",$59.99 ,4.5 out of 5 stars,"-46,259",https://www.amazon.com/Soundcore-Cancelling-Headphones-Wireless-Bluetooth/dp/B07NM3RSRQ/ref=sr_1_21?crid=3ORS3HPQDQZ22&keywords=headphones&qid=1673619314&sprefix=head%2Caps%2C528&sr=8-21
"Amazon Basics In-Ear Wired Headphones, Earbuds with Microphone, Black",$9.66 ,4.2 out of 5 stars,"-13,315",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A088202327QQQ003OM7BB&qualifier=1673619314&id=626055620723221&widgetName=sp_btf&url=%2FAmazonBasics-Ear-Headphones-Mic-Black%2Fdp%2FB07HH1QSLB%2Fref%3Dsr_1_22_sspa%3Fcrid%3D3ORS3HPQDQZ22%26keywords%3Dheadphones%26qid%3D1673619314%26sprefix%3Dhead%252Caps%252C528%26sr%3D8-22-spons%26psc%3D1
OneOdio Wired Over Ear Headphones Studio Monitor & Mixing DJ Stereo Headsets with 50mm Neodymium Drivers and 1/4 to 3.5mm Audio Jack for AMP Computer Recording Phone Piano Guitar Laptop - Black,$31.99 ,4.5 out of 5 stars,"-39,237",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A03955491JLBFV04L0ZS6&qualifier=1673619341&id=3446841995853846&widgetName=sp_atf_next&url=%2FOneOdio-Adapter-Free-Headphones-Professional-Telescopic%2Fdp%2FB01N6ZJH96%2Fref%3Dsr_1_17_sspa%3Fcrid%3D3ORS3HPQDQZ22%26keywords%3Dheadphones%26qid%3D1673619341%26sprefix%3Dhead%252Caps%252C528%26sr%3D8-17-spons%26psc%3D1
"SP SOUNDPRETTY Bulk Earbuds with Microphone 10 Pack, Wired Earbuds Earphones Multicolor Headphones with mic for Kids for School for Classroom Students with 3.5mm Jack",$16.99 ,4.2 out of 5 stars,-61,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0651525WOT1CM4GWL1H&qualifier=1673619341&id=3446841995853846&widgetName=sp_atf_next&url=%2FMicrophone-SP-Soundpretty-Multicolor-Headphones%2Fdp%2FB09Q2THM28%2Fref%3Dsr_1_18_sspa%3Fcrid%3D3ORS3HPQDQZ22%26keywords%3Dheadphones%26qid%3D1673619341%26sprefix%3Dhead%252Caps%252C528%26sr%3D8-18-spons%26psc%3D1
"Koss KPH7 Lightweight Portable Headphone, Black",$4.49 ,4.2 out of 5 stars,"-7,664",https://www.amazon.com/Koss-KPH7-Lightweight-Portable-Headphone/dp/B006T9ZKAQ/ref=sr_1_19?crid=3ORS3HPQDQZ22&keywords=headphones&qid=1673619341&sprefix=head%2Caps%2C528&sr=8-19
Bose QuietComfort 45 Bluetooth Wireless Noise Cancelling Headphones - Triple Black,$329.00 ,4.6 out of 5 stars,"-11,209",https://www.amazon.com/Bose-QuietComfort-45-Bluetooth-Canceling-Headphones/dp/B098FKXT8L/ref=sr_1_20?crid=3ORS3HPQDQZ22&keywords=headphones&qid=1673619341&sprefix=head%2Caps%2C528&sr=8-20
"PowerLocus Wireless Bluetooth Over-Ear Stereo Foldable Headphones, Wired Headsets with Built-in Microphone for iPhone, Samsung, LG, iPad (Rose Gold)",$22.99 ,4.5 out of 5 stars,"-22,954",https://www.amazon.com/PowerLocus-Wireless-Bluetooth-Headphones-Microphone/dp/B06XT8L1YF/ref=sr_1_21?crid=3ORS3HPQDQZ22&keywords=headphones&qid=1673619341&sprefix=head%2Caps%2C528&sr=8-21
"Srhythm NC25 Active Noise Cancelling Headphones Bluetooth 5.3,ANC Stereo Headset Over-Ear with Hi-Fi,Mic,50H Playtime,Voice Assistant,Low Latency Game Mode",$65.99 ,4.4 out of 5 stars,"-12,502",https://www.amazon.com/Cancelling-Headphones-Lightweight-Srhythm-Bluetooth/dp/B083S6Q8VK/ref=sr_1_22?crid=3ORS3HPQDQZ22&keywords=headphones&qid=1673619341&sprefix=head%2Caps%2C528&sr=8-22
"Wireless Earbuds Bluetooth 5.0 Headphones with Wireless Charging Case 36H Play Time, IPX6 Waterproof Earphones True Wireless Earbuds with Microphone, In-Ear Earbuds Deep Bass For Sports TV Phones",$12.99 ,4.8 out of 5 stars,-192,https://www.amazon.com/Bluetooth-Headphones-Waterproof-Earphones-Microphone/dp/B0BNT9HK7R/ref=sr_1_24?crid=3ORS3HPQDQZ22&keywords=headphones&qid=1673619341&sprefix=head%2Caps%2C528&sr=8-24
KOVON Wireless Earbuds Upgraded 5.3 Headphones with LED Power Display Charging Case IPX7 Waterproof Ear Buds in-Ear Earphones with Microphones for Android iOS Gaming PC Computer Laptop TV Sport Music,$15.99 ,4.9 out of 5 stars,-185,https://www.amazon.com/KOVON-Headphones-Waterproof-Earphones-Microphones/dp/B0BLVYLM26/ref=sr_1_25?crid=3ORS3HPQDQZ22&keywords=headphones&qid=1673619341&sprefix=head%2Caps%2C528&sr=8-25
"Wireless Headphones,Bluetooth 5.2 Wireless Headphones with Charging Case,IPX8 Waterproof Stereo Headphones,Built-in Microphone,Bluetooth Headphones for iPhone/Samsung/Android/iOS,Wireless Earbuds",$10.99 ,4.9 out of 5 stars,-217,https://www.amazon.com/Wireless-Headphones-Bluetooth-Waterproof-Microphone/dp/B0BMKSS175/ref=sr_1_26?crid=3ORS3HPQDQZ22&keywords=headphones&qid=1673619341&sprefix=head%2Caps%2C528&sr=8-26
"iPhone Bluetooth Headphones,2023 Latest Version(3rd Generation) Wireless Earbuds with USB-C Fast Charging Case, Running/Fitness (Touch Control,Sweat and Water Resistant) 100% Up to 25+ Hours of Use",$21.88 ,,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A03944213QUJD4PC6RRDV&qualifier=1673619341&id=3446841995853846&widgetName=sp_mtf&url=%2FBluetooth-Headphones-Generation-Case-Resistant%2Fdp%2FB0BRQTQ1PD%2Fref%3Dsr_1_27_sspa%3Fcrid%3D3ORS3HPQDQZ22%26keywords%3Dheadphones%26qid%3D1673619341%26sprefix%3Dhead%252Caps%252C528%26sr%3D8-27-spons%26psc%3D1
"KO-STAR True Wireless Earbuds, 5.1 Bluetooth Earbuds, Mini in-Ear Earbuds with Mic, LED Display, HiFi Stereo, 20Hs Playtime Bluetooth Headphones with Charging Case for Sports/Work/Travel-White T8",$29.99 ,4.1 out of 5 stars,-31,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A07290042BBDVU0B1UPMM&qualifier=1673619341&id=3446841995853846&widgetName=sp_mtf&url=%2FKO-STAR-Wireless-Bluetooth-Earphones-Travel-White%2Fdp%2FB09M9XVC5Y%2Fref%3Dsr_1_28_sspa%3Fcrid%3D3ORS3HPQDQZ22%26keywords%3Dheadphones%26qid%3D1673619341%26sprefix%3Dhead%252Caps%252C528%26sr%3D8-28-spons%26psc%3D1
"Tuitager Bluetooth Headphones Over-Ear, 60 Hours Playtime Foldable Lightweight Wireless Headphones Hi-Fi Stereo with 6 EQ Modes, Bass Adjustable Headset with Built-in HD Mic, FM, SD/TF for PC/Home",$26.99 ,4.4 out of 5 stars,"-5,428",https://www.amazon.com/Bluetooth-Headphones-Lightweight-Adjustable-Microphone/dp/B09CY995KT/ref=sr_1_29?crid=3ORS3HPQDQZ22&keywords=headphones&qid=1673619341&sprefix=head%2Caps%2C528&sr=8-29
"TOZO A2 Mini Wireless Earbuds Bluetooth 5.3 in Ear Light-Weight Headphones Built-in Microphone, IPX5 Waterproof, Immersive Premium Sound Long Distance Connection Headset with Charging Case, Black",$16.99 ,4.4 out of 5 stars,"-1,360",https://www.amazon.com/TOZO-A2-Light-Weight-Headphones-Microphone/dp/B0B979SXNT/ref=sr_1_30?crid=3ORS3HPQDQZ22&keywords=headphones&qid=1673619341&sprefix=head%2Caps%2C528&sr=8-30
"RORSOU R10 On-Ear Headphones with Microphone, Lightweight Folding Stereo Bass Headphones with 1.5M No-Tangle Cord, Portable Wired Headphones for Smartphone Tablet Computer MP3 / 4 (Black)",$13.99 ,4.5 out of 5 stars,"-5,612",https://www.amazon.com/RORSOU-R10-Headphones-Microphone-Lightweight/dp/B094NC89P9/ref=sr_1_31?crid=3ORS3HPQDQZ22&keywords=headphones&qid=1673619341&sprefix=head%2Caps%2C528&sr=8-31
"(2 Pack) USB C Headphone,USB Type C Earphones Wired Earbuds Magnetic Noise Canceling in-Ear Headset with Microphone for Google iPad Pro Pixel Xiaomi Samsung Oneplus Sony MacBook Huawei P40",$19.99 ,3.5 out of 5 stars,-584,https://www.amazon.com/Headphone-Earphones-Magnetic-Canceling-Microphone/dp/B0BKPH18BR/ref=sr_1_32?crid=3ORS3HPQDQZ22&keywords=headphones&qid=1673619341&sprefix=head%2Caps%2C528&sr=8-32
"HOKIC Wireless Earbuds,IPX7 Waterproof Noise Cancelling Earbuds ，Touch Control Built-in Microphone,with Wireless Charging Case 40 Hour Playtime ，Bluetooth Headphones for iPhone/Android (Pink)",$24.99 ,4.6 out of 5 stars,-28,https://www.amazon.com/HOKIC-Wireless-Earbuds-Waterproof-Cancelling/dp/B0BJC1HY4N/ref=sr_1_33?crid=3ORS3HPQDQZ22&keywords=headphones&qid=1673619341&sprefix=head%2Caps%2C528&sr=8-33
UKELALA Green Wired Headphones for Boys Portable On Ear Youth Headphones for School Airplane Travel Lightweight Portable Compatible with Pad Computer Laptop for Adults Student Children Girls Kids,$9.99 ,4.0 out of 5 stars,-2,https://www.amazon.com/UKELALA-Headphones-Portable-Lightweight-Compatible/dp/B0BKZSN18C/ref=sr_1_34?crid=3ORS3HPQDQZ22&keywords=headphones&qid=1673619341&sprefix=head%2Caps%2C528&sr=8-34
"Wireless Earbuds Headphones Bluetooth 5.2 Ear buds with Mic Smart Noise Reduction LED Display Fast Charging Case Touch Control Bluetooth Earphones In Ear Earbuds Wireless Earphone, for Sport and Work",$10.99 ,4.5 out of 5 stars,-436,https://www.amazon.com/Wireless-Headphones-Bluetooth-Reduction-Earphones/dp/B0BPSNHVV2/ref=sr_1_35?crid=3ORS3HPQDQZ22&keywords=headphones&qid=1673619341&sprefix=head%2Caps%2C528&sr=8-35
MMUSS Sleep Ultra Thin Pillow Speakers with Stereo for Sleep Headphones. Headband Headphone Replacement Black 3.5 Interface,$8.99 ,,,https://www.amazon.com/MMUSS-Headphones-Headphone-Replacement-Interface/dp/B0BMWNS4MH/ref=sr_1_36?crid=3ORS3HPQDQZ22&keywords=headphones&qid=1673619341&sprefix=head%2Caps%2C528&sr=8-36
"TUINYO Bluetooth Headphones Wireless, Over Ear Stereo Wireless Headset 40H Playtime with deep bass, Soft Memory-Protein Earmuffs, Built-in Mic Wired Mode PC/Cell Phones/TV-Dark Blue",$30.99 ,4.4 out of 5 stars,"-16,372",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A07512921XT780N5HH7HL&qualifier=1673619341&id=3446841995853846&widgetName=sp_btf&url=%2FBluetooth-Headphones-Wireless-TUINYO-Memory-Protein%2Fdp%2FB08RHMD51S%2Fref%3Dsr_1_37_sspa%3Fcrid%3D3ORS3HPQDQZ22%26keywords%3Dheadphones%26qid%3D1673619341%26sprefix%3Dhead%252Caps%252C528%26sr%3D8-37-spons%26psc%3D1
UKELALA Over Ear Wired Blue Headphones for Boys Folding Corded Headphones for Youth Student Children Portable Stereo Headphones Compatible with Computer PC Phone for School Classroom,$9.99 ,4.0 out of 5 stars,-2,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A08731931SA1JBLQPAFUL&qualifier=1673619341&id=3446841995853846&widgetName=sp_btf&url=%2FUKELALA-Headphones-Children-Compatible-Classroom%2Fdp%2FB0BKZVCRX7%2Fref%3Dsr_1_38_sspa%3Fcrid%3D3ORS3HPQDQZ22%26keywords%3Dheadphones%26qid%3D1673619341%26sprefix%3Dhead%252Caps%252C528%26sr%3D8-38-spons%26psc%3D1
